countyFIPS,County_Name,State,stateFIPS,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7_5_2020
0,Statewide Unallocated,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36,30,5,0,3,3,1,1,0,0,0,0,0,0,1,2,2,3,9,10,10,4,5,2,2,2,2,2,2,2,3,5,3,3,3,3,3,4,0,0,0,1,0,1,4,7,7,8,9,12,12,17,31,33,33,49,50,50,57,76,76,78,79,79,79,79,80,82,84,84,85,85,85,85,86,83,84,84,84,87,89,90,95,97,97,93,93,96,96,100,102,102,97,97,105,110,113,117,118,119,126,130,130,134,139,143,138,145,167,172,187,201,226
12001,Alachua County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,6,7,11,21,25,35,36,37,46,53,60,68,72,80,87,92,95,110,115,123,133,139,144,154,167,174,180,187,195,196,200,201,205,210,218,224,226,231,244,245,251,254,255,262,267,273,275,286,289,289,295,300,306,308,312,320,324,326,329,329,329,332,337,339,344,346,354,355,361,365,370,370,372,378,379,380,382,382,383,387,392,396,399,399,404,412,443,506,531,541,551,564,580,600,633,673,716,738,760,807,863,945,1033,1124,1159,1197,1245,1332,1423,1506,1578
12003,Baker County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,7,7,8,8,9,9,11,11,11,12,13,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,19,20,20,20,20,20,20,20,22,22,22,22,22,22,22,24,24,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,34,35,35,39,39,41,42,42,42,44,47,51,55,57,63,72,80,84,98,102
12005,Bay County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,6,6,8,13,15,18,23,24,24,25,28,34,36,36,37,38,38,39,42,44,48,55,57,58,60,60,63,63,65,68,70,70,72,72,75,76,76,76,76,76,76,76,76,76,77,77,78,80,83,84,85,86,86,87,92,94,95,97,97,97,97,97,97,98,99,99,105,111,115,123,130,132,133,135,135,139,141,145,153,157,161,167,175,188,190,205,230,240,248,287,305,322,347,384,408,581,625,684,713
12007,Bradford County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,5,5,6,7,9,11,15,20,22,24,29,30,31,35,39,40,42,42,42,42,42,42,42,42,43,44,44,46,46,47,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,53,56,56,58,61,61,63,64,69,73,76,80,82,83,83,84,89,92,94,95
12009,Brevard County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,7,9,12,14,20,27,30,32,37,47,49,62,72,79,92,98,105,111,121,123,133,148,163,173,192,205,210,215,218,224,226,235,247,250,252,266,268,270,285,289,297,308,310,319,320,325,326,328,328,330,336,344,348,356,359,365,367,371,372,376,380,389,394,398,399,399,401,409,420,422,424,427,428,431,439,453,457,464,471,484,506,519,541,545,565,608,650,688,748,817,850,878,918,1022,1149,1297,1547,1631,1716,1793,1962,2180,2366,2453,2521
12011,Broward County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,7,11,20,36,36,39,55,80,96,151,164,217,263,311,412,505,631,820,1012,1137,1219,1348,1481,1598,1765,1886,2075,2230,2365,2480,2679,2844,2945,3177,3261,3363,3466,3688,3838,3971,4078,4168,4254,4431,4591,4659,4729,4794,4847,4898,4953,5144,5257,5312,5383,5492,5553,5677,5688,5780,5858,5882,5973,5998,6057,6133,6201,6243,6322,6369,6407,6514,6580,6649,6697,6760,6799,6825,6870,6975,7067,7123,7196,7248,7339,7462,7572,7690,7804,7924,8035,8193,8337,8589,8864,8928,9086,9498,9812,10111,10448,10837,11155,11327,11744,12217,12584,13320,14046,14620,15045,15624,16155,17116,18229,19575,21239
12013,Calhoun County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,14,15,15,15,19,24,24,27,27,27,27,31,33,38,38,40,40,40,40,41,52,52,52,52,52,52,52,53,56,61,61,62,62,62,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,68,69,69,70,70,70,72,72,75,75,76,77,85,93,93,97
12015,Charlotte County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,8,16,16,20,24,26,38,43,46,47,55,67,76,81,104,112,113,119,123,124,127,131,138,138,139,143,154,178,199,202,203,211,219,223,236,244,244,249,257,269,294,304,312,317,329,337,347,350,357,367,370,380,389,392,398,410,412,417,423,427,430,433,438,446,450,458,461,463,470,476,481,488,493,500,501,505,515,522,529,532,537,543,551,553,570,581,587,597,605,617,626,657,687,714,749,775,793,836,860,887,922
12017,Citrus County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,7,8,8,9,9,9,10,11,15,16,17,19,23,27,28,34,43,46,51,55,58,64,67,71,72,74,74,80,82,82,84,86,92,92,94,95,95,97,97,97,97,99,99,99,99,99,100,101,102,102,104,106,106,107,109,109,110,110,112,112,114,115,115,118,119,119,119,119,119,119,120,121,121,122,122,122,122,125,125,128,128,128,130,132,135,140,143,150,152,157,162,168,183,189,199,204,219,226,240,264,277,284,291,323,345,364,372,378
12019,Clay County,FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,4,5,6,7,8,10,16,19,22,26,34,34,41,53,58,69,74,79,81,88,99,110,144,161,163,165,168,170,184,216,223,247,249,256,259,264,266,267,267,271,272,272,273,276,278,279,285,287,288,292,293,299,300,302,303,303,306,308,313,317,320,321,333,351,354,354,357,362,365,366,369,374,380,382,383,387,390,393,393,396,400,405,411,420,427,429,429,435,440,443,450,456,468,481,494,511,511,523,542,580,616,659,682,713,729,801,871,936,991
